Gender,Salary,LocationId,Tenure,Balance,NumProducts,HasCreditCard,IsActive,Geography_France,Geography_Germany,Geography_Spain,Geography_UK,Geography_USA,Churn_Prediction,Churn_Probability,CLV,Risk_Segment,Geography
0,101348.88,2,2,119827.49379288736,1,1,1,1,0,0,0,0,1,0.5073786097760308,118059.17315861242,Medium Risk,France
0,112542.58,6,1,83807.86,1,0,1,0,0,0,0,1,1,0.5073786097760308,41285.544504895784,Medium Risk,USA
0,113931.57,4,8,159660.8,3,1,0,0,0,0,1,0,1,0.9935752137687388,8206.292076097176,High Risk,UK
0,93826.63,1,1,119827.49379288736,2,0,0,0,1,0,0,0,0,0.1591151671009648,100761.12209474227,Low Risk,Germany
0,79084.1,4,2,125510.82,1,1,1,0,0,0,1,0,1,0.5073786097760308,123658.62927310073,Medium Risk,UK
1,149756.71,1,8,113755.78,2,1,0,0,1,0,0,0,1,0.6058578856152504,358687.54922149127,Medium Risk,Germany
1,10062.8,5,7,119827.49379288736,2,1,1,0,0,0,0,0,0,0.0681507590393619,781628.1139598236,Low Risk,France
0,119346.88,1,4,115046.74,4,1,0,0,1,0,0,0,1,0.9965168605981508,1602.8953325931968,High Risk,Germany
1,74940.5,5,4,142051.07,2,0,1,0,0,0,0,0,0,0.2905765233758223,403097.45575033774,Low Risk,France
1,71725.73,4,2,134603.88,1,1,1,0,0,0,1,0,0,0.4648640449012081,144062.75176760636,Medium Risk,UK
1,80181.12,4,6,102016.72,2,0,0,0,0,0,1,0,0,0.3765938285064211,381587.11706119456,Medium Risk,UK
1,76390.01,1,3,119827.49379288736,2,1,0,0,1,0,0,0,0,0.0681507590393619,334983.477411353,Low Risk,Germany
0,26260.98,5,10,119827.49379288736,2,1,0,0,0,0,0,0,0,0.1591151671009648,1007611.2209474227,Low Risk,France
0,190857.79,5,5,119827.49379288736,2,0,0,0,0,0,0,0,0,0.1591151671009648,503805.61047371133,Low Risk,France
0,65951.65,1,7,119827.49379288736,2,1,1,0,1,0,0,0,0,0.1591151671009648,705327.8546631959,Low Risk,Germany
1,64327.26,5,3,143129.41,2,0,1,0,0,0,0,0,0,0.2905765233758223,304618.090948102,Low Risk,France
1,5097.67,4,1,132602.88,1,1,0,0,0,0,1,0,1,0.6512775207088773,46241.605074743224,Medium Risk,UK
0,14406.41,2,9,119827.49379288736,2,1,1,1,0,0,0,0,0,0.1591151671009648,906850.0988526805,Low Risk,France
1,158684.81,2,6,119827.49379288736,1,0,0,1,0,0,0,0,1,0.6512775207088773,250719.24433618374,Medium Risk,France
0,54724.03,2,6,119827.49379288736,2,1,1,1,0,0,0,0,0,0.1591151671009648,604566.7325684535,Low Risk,France
1,170886.17,5,8,119827.49379288736,2,1,1,0,0,0,0,0,0,0.0681507590393619,893289.2730969413,Low Risk,France
0,138555.46,2,8,119827.49379288736,2,1,0,1,0,0,0,0,0,0.1591151671009648,806088.9767579382,Low Risk,France
0,118913.53,2,4,119827.49379288736,1,1,0,1,0,0,0,0,1,0.7604298681876703,114828.35393081256,High Risk,France
1,8487.75,4,3,119827.49379288736,2,0,1,0,0,0,1,0,0,0.0681507590393619,334983.477411353,Low Risk,UK
0,187616.16,2,5,119827.49379288736,1,1,1,1,0,0,0,0,1,0.6003838829610354,239424.9889201214,Medium Risk,France
1,124508.29,6,3,119827.49379288736,2,0,1,0,0,0,0,1,0,0.0681507590393619,334983.477411353,Low Risk,USA
1,170041.95,1,2,136815.64,1,1,1,0,1,0,0,0,0,0.4648640449012081,146429.936367705,Medium Risk,Germany
1,38433.35,6,9,119827.49379288736,2,0,0,0,0,0,0,1,0,0.0681507590393619,1004950.432234059,Low Risk,USA
0,100187.43,1,3,141349.43,1,1,1,0,1,0,0,0,1,0.5073786097760308,208895.25814189686,Medium Risk,Germany
1,53483.21,4,0,59697.17,2,1,1,0,0,0,1,0,0,0.3414351141288982,0.0,Medium Risk,UK
