Gender,Age,Salary,LocationId,Tenure,Balance,NumProducts,HasCreditCard,IsActive,Geography_France,Geography_Germany,Geography_Spain,Geography_UK,Geography_USA
1,32,179093.26,1,6,119827.49379288736,2,1,1,0,1,0,0,0
1,42,195978.86,4,4,119624.6,2,1,1,0,0,0,1,0
1,24,85891.02,3,3,114739.92,1,1,0,0,0,1,0,0
0,27,153080.4,3,9,135637.0,1,1,0,0,0,1,0,0
1,56,39488.04,6,9,142147.32,1,0,0,0,0,0,0,1
1,41,163150.03,3,4,120243.49,1,1,0,0,0,1,0,0
0,40,75762.0,4,1,119827.49379288736,2,0,0,0,0,0,1,0
0,45,99251.24,4,8,119827.49379288736,2,1,1,0,0,0,1,0
0,34,61230.83,6,3,119827.49379288736,2,1,1,0,0,0,0,1
1,74,51554.58,3,2,119827.49379288736,2,0,1,0,0,1,0,0
0,53,170454.93,3,8,123845.36,2,0,1,0,0,1,0,0
0,39,40721.24,6,2,119827.49379288736,2,1,0,0,0,0,0,1
1,32,64839.23,6,5,119827.49379288736,1,1,1,0,0,0,0,1
0,30,143994.86,5,5,119827.49379288736,2,1,0,0,0,0,0,0
0,41,94170.84,6,5,119827.49379288736,2,1,1,0,0,0,0,1
0,31,175697.87,6,7,119827.49379288736,2,1,1,0,0,0,0,1
0,44,5708.19,6,8,133444.97,1,0,1,0,0,0,0,1
1,40,138360.29,4,10,121355.99,1,1,0,0,0,0,1,0
1,49,119174.88,5,8,98649.55,1,1,0,0,0,0,0,0
1,28,130504.49,2,5,71097.23,1,1,1,1,0,0,0,0
1,36,111573.3,1,5,117559.05,2,1,1,0,1,0,0,0
1,28,2305.27,1,3,119827.49379288736,2,1,0,0,1,0,0,0
1,35,192933.37,6,4,95853.39,2,1,0,0,0,0,0,1
1,35,10008.68,3,3,121030.9,1,1,0,0,0,1,0,0
0,37,16403.41,1,8,119827.49379288736,1,1,1,0,1,0,0,0
1,28,32349.29,6,10,126315.26,1,1,0,0,0,0,0,1
1,33,169381.9,5,2,161814.64,2,1,0,0,0,0,0,0
1,31,33099.41,5,0,113688.63,1,1,0,0,0,0,0,0
1,56,142400.27,1,7,119827.49379288736,1,1,1,0,1,0,0,0
1,45,172175.9,4,10,119827.49379288736,2,0,0,0,0,0,1,0
1,37,116141.72,4,6,119827.49379288736,1,1,1,0,0,0,1,0
1,56,85547.33,6,9,119827.49379288736,1,0,0,0,0,0,0,1
1,30,79240.9,5,10,57657.49,1,0,0,0,0,0,0,0
0,26,42330.58,1,8,149989.39,1,1,0,0,1,0,0,0
1,24,156906.15,2,10,119827.49379288736,2,1,1,1,0,0,0,0
0,34,146511.2,3,6,138190.13,2,0,1,0,0,1,0,0
1,43,105568.6,6,2,119827.49379288736,2,1,0,0,0,0,0,1
0,40,72852.74,2,7,119827.49379288736,1,1,0,1,0,0,0,0
0,50,6985.34,5,5,107959.39,1,1,1,0,0,0,0,0
0,27,88751.45,3,4,119827.49379288736,2,0,0,0,0,1,0,0
0,38,153122.58,2,6,179886.41,2,0,0,1,0,0,0,0
0,39,90212.38,3,9,161993.89,1,0,0,0,0,1,0,0
0,39,97192.76,4,4,80293.81,1,1,0,0,0,0,1,0
0,34,53584.03,2,8,119827.49379288736,2,1,0,1,0,0,0,0
0,56,143049.72,6,6,103244.86,2,1,0,0,0,0,0,1
0,29,147342.03,3,8,119827.49379288736,2,0,0,0,0,1,0,0
0,45,147184.74,1,6,119827.49379288736,2,0,0,0,1,0,0,0
0,43,181499.77,3,0,118994.84,1,1,0,0,0,1,0,0
1,35,116672.02,2,4,136496.12,2,1,0,1,0,0,0,0
0,29,111565.45,1,9,119827.49379288736,2,1,0,0,1,0,0,0
1,32,67926.18,3,7,119827.49379288736,2,1,0,0,0,1,0,0
0,34,185561.89,5,5,119827.49379288736,2,1,0,0,0,0,0,0
1,64,148305.82,5,4,119827.49379288736,2,1,1,0,0,0,0,0
1,75,39351.64,3,5,87140.85,1,1,1,0,0,1,0,0
0,62,23386.77,4,8,108004.64,1,1,1,0,0,0,1,0
0,41,71672.86,1,3,150300.65,2,1,0,0,1,0,0,0
1,77,161579.85,1,5,119827.49379288736,2,1,1,0,1,0,0,0
0,47,124694.99,2,6,127299.34,2,1,0,1,0,0,0,0
1,58,132034.13,5,6,98308.51,1,1,1,0,0,0,0,0
1,28,34490.06,2,7,117466.03,2,1,1,1,0,0,0,0
0,35,180439.75,4,10,119827.49379288736,2,1,0,0,0,0,1,0
1,36,198313.69,6,10,106702.94,2,0,0,0,0,0,0,1
1,37,111312.96,1,9,119827.49379288736,1,1,0,0,1,0,0,0
1,34,121904.14,5,7,160515.37,1,1,0,0,0,0,0,0
0,51,88372.69,6,0,108449.23,3,0,0,0,0,0,0,1
0,38,178752.73,3,2,119827.49379288736,2,0,0,0,0,1,0,0
1,32,111149.98,2,2,99092.45,1,0,1,1,0,0,0,0
1,37,8065.0,1,2,119827.49379288736,1,0,1,0,1,0,0,0
0,74,16445.79,6,3,108071.36,2,1,1,0,0,0,0,1
1,43,187296.78,3,6,99610.92,2,1,0,0,0,1,0,0
0,41,151303.48,6,4,133432.59,1,0,1,0,0,0,0,1
1,25,152698.24,5,4,119827.49379288736,2,1,0,0,0,0,0,0
0,24,155144.12,1,5,172231.93,1,0,1,0,1,0,0,0
1,61,53067.83,3,1,119827.49379288736,1,1,0,0,0,1,0,0
0,39,7953.62,1,5,83348.89,3,1,0,0,1,0,0,0
1,47,121840.2,2,9,152076.93,1,1,0,1,0,0,0,0
0,36,185580.89,3,4,119827.49379288736,1,1,0,0,0,1,0,0
1,41,102515.42,5,2,119827.49379288736,2,0,1,0,0,0,0,0
