Gender,Salary,LocationId,Tenure,Balance,NumProducts,HasCreditCard,IsActive,Geography_France,Geography_Germany,Geography_Spain,Geography_UK,Geography_USA
0,101348.88,2,2,119827.49379288736,1,1,1,1,0,0,0,0
0,112542.58,6,1,83807.86,1,0,1,0,0,0,0,1
0,113931.57,4,8,159660.8,3,1,0,0,0,0,1,0
0,93826.63,1,1,119827.49379288736,2,0,0,0,1,0,0,0
0,79084.1,4,2,125510.82,1,1,1,0,0,0,1,0
1,149756.71,1,8,113755.78,2,1,0,0,1,0,0,0
1,10062.8,5,7,119827.49379288736,2,1,1,0,0,0,0,0
0,119346.88,1,4,115046.74,4,1,0,0,1,0,0,0
1,74940.5,5,4,142051.07,2,0,1,0,0,0,0,0
1,71725.73,4,2,134603.88,1,1,1,0,0,0,1,0
1,80181.12,4,6,102016.72,2,0,0,0,0,0,1,0
1,76390.01,1,3,119827.49379288736,2,1,0,0,1,0,0,0
0,26260.98,5,10,119827.49379288736,2,1,0,0,0,0,0,0
0,190857.79,5,5,119827.49379288736,2,0,0,0,0,0,0,0
0,65951.65,1,7,119827.49379288736,2,1,1,0,1,0,0,0
1,64327.26,5,3,143129.41,2,0,1,0,0,0,0,0
1,5097.67,4,1,132602.88,1,1,0,0,0,0,1,0
0,14406.41,2,9,119827.49379288736,2,1,1,1,0,0,0,0
1,158684.81,2,6,119827.49379288736,1,0,0,1,0,0,0,0
0,54724.03,2,6,119827.49379288736,2,1,1,1,0,0,0,0
1,170886.17,5,8,119827.49379288736,2,1,1,0,0,0,0,0
0,138555.46,2,8,119827.49379288736,2,1,0,1,0,0,0,0
0,118913.53,2,4,119827.49379288736,1,1,0,1,0,0,0,0
1,8487.75,4,3,119827.49379288736,2,0,1,0,0,0,1,0
0,187616.16,2,5,119827.49379288736,1,1,1,1,0,0,0,0
1,124508.29,6,3,119827.49379288736,2,0,1,0,0,0,0,1
1,170041.95,1,2,136815.64,1,1,1,0,1,0,0,0
1,38433.35,6,9,119827.49379288736,2,0,0,0,0,0,0,1
0,100187.43,1,3,141349.43,1,1,1,0,1,0,0,0
1,53483.21,4,0,59697.17,2,1,1,0,0,0,1,0
0,140469.38,4,3,119827.49379288736,3,1,0,0,0,0,1,0
1,156731.91,2,7,85311.7,1,0,1,1,0,0,0,0
1,81898.81,2,9,110112.54,2,0,0,1,0,0,0,0
0,34410.55,3,6,119827.49379288736,2,1,1,0,0,1,0,0
0,142033.07,3,9,119827.49379288736,2,1,1,0,0,1,0,0
0,27822.99,5,0,134264.04,1,1,0,0,0,0,0,0
1,114066.77,3,3,145260.23,1,0,1,0,0,1,0,0
1,98453.45,5,7,76548.6,1,0,1,0,0,0,0,0
1,40812.9,2,7,119827.49379288736,1,1,1,1,0,0,0,0
1,178074.04,3,6,70349.48,2,0,1,0,0,1,0,0
1,70154.22,4,4,119827.49379288736,1,1,0,0,0,0,1,0
0,181297.65,6,8,122522.32,1,0,0,0,0,0,0,1
0,94153.83,2,2,117419.35,1,1,1,1,0,0,0,0
0,194365.76,3,2,131394.56,1,0,0,0,0,1,0,0
0,158338.39,4,5,155931.11,1,1,1,0,0,0,1,0
0,126517.46,2,4,109421.13,2,1,1,1,0,0,0,0
0,119708.21,1,9,112045.67,1,1,1,0,1,0,0,0
0,117622.8,2,9,137843.8,1,1,1,1,0,0,0,0
1,90878.13,4,2,103391.38,1,0,1,0,0,0,1,0
0,194099.12,4,2,103769.22,2,1,0,0,0,0,1,0
1,198059.16,1,10,116363.37,2,1,0,0,1,0,0,0
1,86424.57,4,5,146050.97,2,0,0,0,0,0,1,0
0,116978.19,6,5,119827.49379288736,2,0,0,0,0,0,0,1
1,164040.94,5,8,125561.97,1,0,0,0,0,0,0,0
1,40014.76,3,1,98495.72,1,1,0,0,0,1,0,0
1,113410.49,1,1,125211.92,1,1,1,0,1,0,0,0
1,87107.57,1,5,127864.4,1,1,0,0,1,0,0,0
1,45613.75,1,0,75888.2,1,0,0,0,1,0,0,0
0,1643.11,3,4,119827.49379288736,1,1,0,0,0,1,0,0
1,46775.28,3,4,40685.92,1,1,1,0,0,1,0,0
1,84509.57,1,5,136857.0,1,0,0,0,1,0,0,0
0,126494.82,4,9,152328.88,2,0,0,0,0,0,1,0
1,178798.13,1,1,56084.69,2,0,0,0,1,0,0,0
1,99398.36,1,8,78707.16,1,1,1,0,1,0,0,0
1,92840.67,6,4,109166.37,1,1,1,0,0,0,0,1
0,27758.36,2,6,169831.46,2,1,1,1,0,0,0,0
0,110431.51,2,1,101633.04,1,1,0,1,0,0,0,0
1,196673.28,4,10,123180.01,2,1,1,0,0,0,1,0
0,113656.85,2,5,150725.53,2,0,1,1,0,0,0,0
0,18203.0,4,8,98373.26,1,1,0,0,0,0,1,0
1,28373.86,3,2,133745.44,4,1,0,0,0,1,0,0
1,33953.87,6,6,119827.49379288736,1,1,0,0,0,0,0,1
0,44203.55,2,0,163607.18,1,0,1,1,0,0,0,0
0,58426.81,6,5,157780.84,2,1,1,0,0,0,0,1
1,145562.4,2,9,119827.49379288736,2,0,1,1,0,0,0,0
0,22388.0,2,1,178718.19,2,1,0,1,0,0,0,0
1,139161.64,4,8,119827.49379288736,2,1,1,0,0,0,1,0
0,148210.64,4,9,119827.49379288736,1,1,1,0,0,0,1,0
1,194239.63,6,5,77253.22,1,0,1,0,0,0,0,1
0,98301.61,5,10,122189.66,2,1,0,0,0,0,0,0
0,171413.66,2,1,96645.54,2,0,0,1,0,0,0,0
0,136458.19,4,2,119827.49379288736,1,1,0,0,0,0,1,0
0,26019.59,6,3,119827.49379288736,2,0,0,0,0,0,0,1
0,159235.29,3,4,90307.62,1,1,1,0,0,1,0,0
0,1907.66,5,4,119827.49379288736,2,1,0,0,0,0,0,0
0,114675.75,3,10,119827.49379288736,2,1,1,0,0,1,0,0
1,128643.35,4,3,121681.82,1,1,0,0,0,0,1,0
1,151869.35,6,9,119827.49379288736,2,1,0,0,0,0,0,1
0,93251.42,2,4,119827.49379288736,3,1,0,1,0,0,0,0
0,156791.36,4,3,81623.67,2,1,1,0,0,0,1,0
0,174205.22,6,5,119827.49379288736,3,1,1,0,0,0,0,1
1,147132.46,6,7,118626.55,2,1,0,0,0,0,0,1
0,109614.57,2,10,119827.49379288736,2,1,0,1,0,0,0,0
1,172290.61,3,8,119827.49379288736,2,1,1,0,0,1,0,0
1,85982.47,5,4,119827.49379288736,2,0,1,0,0,0,0,0
1,121277.78,5,10,176273.95,1,0,1,0,0,0,0,0
1,64595.25,3,9,102827.44,1,0,1,0,0,1,0,0
1,197276.13,3,8,97086.4,2,1,1,0,0,1,0,0
1,99645.04,4,8,119827.49379288736,2,0,0,0,0,0,1,0
1,6534.18,2,9,119827.49379288736,2,0,0,1,0,0,0,0
0,161848.03,6,6,119827.49379288736,1,1,1,0,0,0,0,1
0,167162.43,5,6,119827.49379288736,2,0,0,0,0,0,0,0
1,41970.72,3,9,82674.15,1,1,0,0,0,1,0,0
1,60536.56,6,7,119827.49379288736,2,1,0,0,0,0,0,1
0,177655.68,2,1,119827.49379288736,1,1,1,1,0,0,0,0
0,30984.59,5,4,107073.27,2,1,1,0,0,0,0,0
1,10054.53,1,1,88938.62,1,1,1,0,1,0,0,0
0,36976.52,2,2,99806.85,1,0,1,1,0,0,0,0
1,71862.79,3,5,150092.8,1,0,0,0,0,1,0,0
1,99449.86,2,9,92833.89,1,1,0,1,0,0,0,0
1,63082.88,1,3,90536.81,1,0,1,0,1,0,0,0
1,27231.26,6,7,108055.1,2,1,0,0,0,0,0,1
1,86797.41,4,2,100238.35,1,0,0,0,0,0,1,0
1,22994.32,4,9,106190.55,1,0,1,0,0,0,1,0
1,101300.94,4,9,154475.54,2,0,1,0,0,0,1,0
0,74169.13,4,9,132351.29,2,1,1,0,0,0,1,0
0,115638.29,2,6,167864.4,1,1,0,1,0,0,0,0
0,31766.3,4,1,119827.49379288736,2,1,0,0,0,0,1,0
0,199725.39,4,8,107818.63,1,1,0,0,0,0,1,0
1,120834.48,5,4,185173.81,2,1,0,0,0,0,0,0
1,38131.77,6,8,129433.34,2,0,0,0,0,0,0,1
1,100130.95,6,6,120193.42,1,0,0,0,0,0,0,1
0,141069.88,2,6,119827.49379288736,2,1,0,1,0,0,0,0
0,198129.36,1,10,126384.42,1,1,1,0,1,0,0,0
0,183646.41,6,3,119827.49379288736,1,0,0,0,0,0,0,1
1,110265.24,2,9,152603.45,1,1,0,1,0,0,0,0
0,8636.05,1,1,119827.49379288736,1,0,1,0,1,0,0,0
1,46824.08,2,0,148507.24,1,1,0,1,0,0,0,0
0,171378.77,1,7,119827.49379288736,2,1,0,0,1,0,0,0
1,167256.35,1,9,101827.07,1,1,0,0,1,0,0,0
0,124226.16,5,3,119827.49379288736,2,1,1,0,0,0,0,0
0,114935.21,2,9,130862.43,1,1,1,1,0,0,0,0
1,35608.88,4,9,122570.87,1,1,1,0,0,0,1,0
1,16459.37,2,1,119827.49379288736,2,0,1,1,0,0,0,0
1,124411.08,2,7,124828.46,2,1,1,1,0,0,0,0
0,34941.23,1,5,144895.05,2,1,1,0,1,0,0,0
0,167784.28,5,5,63663.93,1,0,1,0,0,0,0,0
1,93165.34,4,2,133463.1,1,0,1,0,0,0,1,0
0,75161.25,3,2,213146.2,1,1,0,0,0,1,0,0
0,8590.83,6,1,129490.36,2,0,1,0,0,0,0,1
1,189543.9,2,10,137452.09,1,1,0,1,0,0,0,0
1,180427.24,2,7,119827.49379288736,2,1,1,1,0,0,0,0
0,193318.33,4,5,125851.93,1,1,1,0,0,0,1,0
1,159123.82,4,2,119827.49379288736,1,1,0,0,0,0,1,0
0,126213.84,6,5,40915.55,1,1,0,0,0,0,0,1
0,54141.5,5,5,113157.22,1,1,1,0,0,0,0,0
0,141075.51,2,8,138296.94,2,1,0,1,0,0,0,0
1,24495.03,6,5,106967.18,1,0,0,0,0,0,0,1
1,74836.34,4,9,120681.63,1,1,0,0,0,0,1,0
1,878.87,5,0,119827.49379288736,2,0,1,0,0,0,0,0
0,89520.75,3,7,119827.49379288736,2,1,0,0,0,1,0,0
0,149892.79,2,9,119827.49379288736,1,1,0,1,0,0,0,0
1,180800.42,2,8,119827.49379288736,2,1,0,1,0,0,0,0
1,98646.22,2,2,127609.59,1,1,0,1,0,0,0,0
0,109041.53,4,6,119827.49379288736,2,1,1,0,0,0,1,0
1,17941.16,4,7,119827.49379288736,1,1,0,0,0,0,1,0
0,82996.47,3,7,119827.49379288736,2,0,0,0,0,1,0,0
0,92067.35,5,2,119827.49379288736,2,1,1,0,0,0,0,0
0,104719.66,3,6,97259.25,1,0,1,0,0,1,0,0
0,112687.57,2,4,123246.7,1,0,0,1,0,0,0,0
0,84699.56,3,6,101060.25,1,0,1,0,0,1,0,0
1,83473.82,6,2,119827.49379288736,2,1,0,0,0,0,0,1
0,47125.11,1,7,108007.36,1,0,0,0,1,0,0,0
0,106977.8,1,2,119827.49379288736,2,1,1,0,1,0,0,0
1,55582.54,5,0,133702.89,1,1,0,0,0,0,0,0
1,139874.43,1,9,125189.75,2,1,1,0,1,0,0,0
0,162503.48,3,7,113034.22,1,1,0,0,0,1,0,0
0,196499.96,3,9,109013.23,1,1,0,0,0,1,0,0
0,40721.24,6,2,119827.49379288736,2,1,0,0,0,0,0,1
1,53134.3,4,9,57929.81,2,0,0,0,0,0,1,0
0,164017.89,3,4,130114.39,1,1,0,0,0,1,0,0
1,155996.96,2,5,95826.49,2,1,0,1,0,0,0,0
1,5472.7,6,10,129608.57,1,1,0,0,0,0,0,1
1,112187.11,2,4,169462.09,1,1,0,1,0,0,0,0
1,146457.83,6,5,119827.49379288736,2,1,1,0,0,0,0,1
0,27286.1,1,7,133868.21,1,1,1,0,1,0,0,0
0,130553.47,4,0,119827.49379288736,2,1,1,0,0,0,1,0
1,179351.89,3,5,190479.48,2,0,0,0,0,1,0,0
0,94774.12,6,8,101993.12,1,0,1,0,0,0,0,1
0,8080.85,6,3,161608.81,1,1,0,0,0,0,0,1
0,19482.5,4,2,122311.21,1,1,1,0,0,0,1,0
1,48071.61,6,2,119827.49379288736,2,1,1,0,0,0,0,1
0,174531.27,6,1,162150.42,2,1,0,0,0,0,0,1
1,55470.78,3,2,119827.49379288736,2,1,1,0,0,1,0,0
0,8546.87,2,4,119827.49379288736,1,1,1,1,0,0,0,0
1,95857.18,5,8,119827.49379288736,2,1,0,0,0,0,0,0
0,194945.8,1,1,99010.67,1,1,0,0,1,0,0,0
0,131521.72,4,0,119827.49379288736,1,0,1,0,0,0,1,0
1,196108.51,5,5,119827.49379288736,2,0,1,0,0,0,0,0
0,148564.76,4,7,111388.18,2,1,0,0,0,0,1,0
0,92982.61,1,8,56214.85,2,0,0,0,1,0,0,0
0,17675.36,2,3,84327.77,2,1,0,1,0,0,0,0
1,114996.43,5,1,119827.49379288736,2,0,0,0,0,0,0,0
1,86957.42,1,8,93012.89,1,1,0,0,1,0,0,0
1,128077.8,6,9,61710.44,2,1,0,0,0,0,0,1
1,600.36,5,3,174790.15,1,1,1,0,0,0,0,0
0,43001.46,4,6,119827.49379288736,2,1,1,0,0,0,1,0
1,158591.12,3,3,107720.64,1,1,1,0,0,1,0,0
1,47847.19,2,10,119827.49379288736,2,1,1,1,0,0,0,0
1,10488.44,5,6,96423.84,1,1,0,0,0,0,0,0
1,5978.2,3,2,141040.01,1,1,1,0,0,1,0,0
1,121409.06,3,4,105420.18,1,0,1,0,0,1,0,0
1,146145.93,2,5,119827.49379288736,1,0,1,1,0,0,0,0
0,14374.86,1,2,129022.06,2,1,1,0,1,0,0,0
1,94670.77,1,3,176666.62,1,1,0,0,1,0,0,0
1,179670.31,3,3,119827.49379288736,1,1,1,0,0,1,0,0
0,199304.74,2,3,89763.84,1,0,0,1,0,0,0,0
1,151954.39,3,5,134954.53,1,1,1,0,0,1,0,0
1,142513.5,6,5,119827.49379288736,1,1,0,0,0,0,0,1
1,158264.62,2,2,106376.85,1,0,1,1,0,0,0,0
1,169381.9,5,2,161814.64,2,1,0,0,0,0,0,0
1,169915.02,5,8,119827.49379288736,2,1,1,0,0,0,0,0
0,88852.47,6,9,119827.49379288736,2,0,0,0,0,0,0,1
0,40645.81,2,1,63095.01,1,1,1,1,0,0,0,0
1,60427.3,3,4,118287.01,2,0,0,0,0,1,0,0
1,157959.02,3,7,106854.21,1,0,1,0,0,1,0,0
1,133007.34,3,7,49512.55,1,1,0,0,0,1,0,0
0,176576.62,6,9,119827.49379288736,2,0,0,0,0,0,0,1
1,34888.04,6,1,105799.32,2,1,0,0,0,0,0,1
1,28737.71,4,8,119827.49379288736,1,1,1,0,0,0,1,0
0,98178.57,5,9,114722.05,2,1,1,0,0,0,0,0
1,125010.24,5,7,119827.49379288736,1,0,1,0,0,0,0,0
1,167984.61,1,2,119827.49379288736,2,1,1,0,1,0,0,0
1,4861.72,5,10,119827.49379288736,1,1,0,0,0,0,0,0
1,108872.45,6,6,99564.22,1,1,1,0,0,0,0,1
1,198252.88,6,4,170557.91,2,1,0,0,0,0,0,1
0,26960.31,3,9,119827.49379288736,2,1,1,0,0,1,0,0
0,85746.52,6,6,74596.15,3,1,1,0,0,0,0,1
1,77206.25,6,2,96888.39,1,1,0,0,0,0,0,1
0,61048.53,1,3,130830.22,1,1,0,0,1,0,0,0
1,111981.19,6,1,119827.49379288736,2,0,1,0,0,0,0,1
1,62232.6,6,0,119827.49379288736,2,1,0,0,0,0,0,1
0,156105.03,2,1,119827.49379288736,2,0,1,1,0,0,0,0
1,150135.38,4,3,119714.25,2,0,1,0,0,0,1,0
0,93146.11,6,5,113978.97,2,0,1,0,0,0,0,1
1,33462.94,6,6,100160.75,1,1,0,0,0,0,0,1
0,144375.0,3,2,119827.49379288736,1,1,1,0,0,1,0,0
0,55803.96,6,3,116220.5,3,1,0,0,0,0,0,1
0,89048.46,2,2,119827.49379288736,3,1,0,1,0,0,0,0
1,162812.16,1,2,81173.83,2,0,1,0,1,0,0,0
1,136259.65,3,4,119827.49379288736,2,1,0,0,0,1,0,0
0,124052.97,3,5,116803.8,1,1,0,0,0,1,0,0
1,74158.8,1,8,105961.68,2,0,1,0,1,0,0,0
1,45071.09,6,6,117411.6,1,1,1,0,0,0,0,1
1,62030.06,4,7,119827.49379288736,2,1,0,0,0,0,1,0
0,131953.23,5,10,123497.58,1,1,0,0,0,0,0,0
1,79414.0,2,7,152400.51,2,1,0,1,0,0,0,0
0,199638.56,6,1,119827.49379288736,2,1,1,0,0,0,0,1
1,157577.29,5,8,103097.85,1,1,1,0,0,0,0,0
1,134420.75,2,8,126418.14,1,1,0,1,0,0,0,0
0,99805.99,3,5,77846.9,1,0,0,0,0,1,0,0
0,97932.68,3,1,119827.49379288736,2,1,1,0,0,1,0,0
0,170968.99,4,0,119827.49379288736,2,0,1,0,0,0,1,0
1,57558.95,4,2,79731.91,1,1,1,0,0,0,1,0
