AccountId,CustomerId,Tenure,Balance,NumProducts,HasCreditCard,IsActive
A15634602SID,15634602,2,,1,1,1
A15647311SID,15647311,1,83807.86,1,0,1
A15619304SID,15619304,8,159660.8,3,1,0
A15701354SID,15701354,1,,2,0,0
A15737888SID,15737888,2,125510.82,1,1,1
A15574012SID,15574012,8,113755.78,2,1,0
A15592531SID,15592531,7,,2,1,1
A15656148SID,15656148,4,115046.74,4,1,0
A15792365SID,15792365,4,142051.07,2,0,1
A15592389SID,15592389,2,134603.88,1,1,1
A15767821SID,15767821,6,102016.72,2,0,0
A15737173SID,15737173,3,,2,1,0
A15632264SID,15632264,10,,2,1,0
A15691483SID,15691483,5,,2,0,0
A15600882SID,15600882,7,,2,1,1
A15643966SID,15643966,3,143129.41,2,0,1
A15737452SID,15737452,1,132602.88,1,1,0
A15788218SID,15788218,9,,2,1,1
A15661507SID,15661507,6,,1,0,0
A15568982SID,15568982,6,,2,1,1
A15577657SID,15577657,8,,2,1,1
A15597945SID,15597945,8,,2,1,0
A15699309SID,15699309,4,,1,1,0
A15725737SID,15725737,3,,2,0,1
A15625047SID,15625047,5,,1,1,1
A15738191SID,15738191,3,,2,0,1
A15736816SID,15736816,2,136815.64,1,1,1
A15700772SID,15700772,9,,2,0,0
A15728693SID,15728693,3,141349.43,1,1,1
A15656300SID,15656300,0,59697.17,2,1,1
A15589475SID,15589475,3,,3,1,0
A15706552SID,15706552,7,85311.7,1,0,1
A15750181SID,15750181,9,110112.54,2,0,0
A15659428SID,15659428,6,,2,1,1
A15732963SID,15732963,9,,2,1,1
A15794171SID,15794171,0,134264.04,1,1,0
A15788448SID,15788448,3,145260.23,1,0,1
A15729599SID,15729599,7,76548.6,1,0,1
A15717426SID,15717426,7,,1,1,1
A15585768SID,15585768,6,70349.48,2,0,1
A15619360SID,15619360,4,,1,1,0
A15738148SID,15738148,8,122522.32,1,0,0
A15687946SID,15687946,2,117419.35,1,1,1
A15755196SID,15755196,2,131394.56,1,0,0
A15684171SID,15684171,5,155931.11,1,1,1
A15754849SID,15754849,4,109421.13,2,1,1
A15602280SID,15602280,9,112045.67,1,1,1
A15771573SID,15771573,9,137843.8,1,1,1
A15766205SID,15766205,2,103391.38,1,0,1
A15771873SID,15771873,2,103769.22,2,1,0
A15616550SID,15616550,10,116363.37,2,1,0
A15768193SID,15768193,5,146050.97,2,0,0
A15683553SID,15683553,5,,2,0,0
A15702298SID,15702298,8,125561.97,1,0,0
A15569590SID,15569590,1,98495.72,1,1,0
A15760861SID,15760861,1,125211.92,1,1,1
A15630053SID,15630053,5,127864.4,1,1,0
A15647091SID,15647091,0,75888.2,1,0,0
A15623944SID,15623944,4,,1,1,0
A15804771SID,15804771,4,40685.92,1,1,1
A15651280SID,15651280,5,136857,1,0,0
A15773469SID,15773469,9,152328.88,2,0,0
A15702014SID,15702014,1,56084.69,2,0,0
A15751208SID,15751208,8,78707.16,1,1,1
A15592461SID,15592461,4,109166.37,1,1,1
A15789484SID,15789484,6,169831.46,2,1,1
A15696061SID,15696061,1,101633.04,1,1,0
A15641582SID,15641582,10,123180.01,2,1,1
A15638424SID,15638424,5,150725.53,2,0,1
A15755648SID,15755648,8,98373.26,1,1,0
A15703793SID,15703793,2,133745.44,4,1,0
A15620344SID,15620344,6,,1,1,0
A15812518SID,15812518,0,163607.18,1,0,1
A15779052SID,15779052,5,157780.84,2,1,1
A15770811SID,15770811,9,,2,0,1
A15780961SID,15780961,1,178718.19,2,1,0
A15614049SID,15614049,8,,2,1,1
A15662085SID,15662085,9,,1,1,1
A15575185SID,15575185,5,77253.22,1,0,1
A15803136SID,15803136,10,122189.66,2,1,0
A15706021SID,15706021,1,96645.54,2,0,0
A15663706SID,15663706,2,,1,1,0
A15641732SID,15641732,3,,2,0,0
A15701164SID,15701164,4,90307.62,1,1,1
A15738751SID,15738751,4,,2,1,0
A15805254SID,15805254,10,,2,1,1
A15762418SID,15762418,3,121681.82,1,1,0
A15625759SID,15625759,9,,2,1,0
A15622897SID,15622897,4,,3,1,0
A15767954SID,15767954,3,81623.67,2,1,1
A15757535SID,15757535,5,,3,1,1
A15731511SID,15731511,7,118626.55,2,1,0
A15809248SID,15809248,10,,2,1,0
A15640635SID,15640635,8,,2,1,1
A15676966SID,15676966,4,,2,0,1
A15699461SID,15699461,10,176273.95,1,0,1
A15738721SID,15738721,9,102827.44,1,0,1
A15693683SID,15693683,8,97086.4,2,1,1
A15604348SID,15604348,8,,2,0,0
A15633059SID,15633059,9,,2,0,0
A15808582SID,15808582,6,,1,1,1
A15743192SID,15743192,6,,2,0,0
A15580146SID,15580146,9,82674.15,1,1,0
A15776605SID,15776605,7,,2,1,0
A15804919SID,15804919,1,,1,1,1
A15613854SID,15613854,4,107073.27,2,1,1
A15599195SID,15599195,1,88938.62,1,1,1
A15812878SID,15812878,2,99806.85,1,0,1
A15602312SID,15602312,5,150092.8,1,0,0
A15744689SID,15744689,9,92833.89,1,1,0
A15803526SID,15803526,3,90536.81,1,0,1
A15665790SID,15665790,7,108055.1,2,1,0
A15715951SID,15715951,2,100238.35,1,0,0
A15591100SID,15591100,9,106190.55,1,0,1
A15609618SID,15609618,9,154475.54,2,0,1
A15675522SID,15675522,9,132351.29,2,1,1
A15705512SID,15705512,6,167864.4,1,1,0
A15698028SID,15698028,1,,2,1,0
A15661670SID,15661670,8,107818.63,1,1,0
A15600781SID,15600781,4,185173.81,2,1,0
A15682472SID,15682472,8,129433.34,2,0,0
A15580203SID,15580203,6,120193.42,1,0,0
A15690673SID,15690673,6,,2,1,0
A15760085SID,15760085,10,126384.42,1,1,1
A15779659SID,15779659,3,,1,0,0
A15627360SID,15627360,9,152603.45,1,1,0
A15671137SID,15671137,1,,1,0,1
A15782688SID,15782688,0,148507.24,1,1,0
A15575492SID,15575492,7,,2,1,0
A15591607SID,15591607,9,101827.07,1,1,0
A15740404SID,15740404,3,,2,1,1
A15718369SID,15718369,9,130862.43,1,1,1
A15677871SID,15677871,9,122570.87,1,1,1
A15642004SID,15642004,1,,2,0,1
A15712543SID,15712543,7,124828.46,2,1,1
A15584518SID,15584518,5,144895.05,2,1,1
A15802381SID,15802381,5,63663.93,1,0,1
A15610156SID,15610156,2,133463.1,1,0,1
A15594408SID,15594408,2,213146.2,1,1,0
A15640905SID,15640905,1,129490.36,2,0,1
A15698932SID,15698932,10,137452.09,1,1,0
A15724944SID,15724944,7,,2,1,1
A15628145SID,15628145,5,125851.93,1,1,1
A15713483SID,15713483,2,,1,1,0
A15612350SID,15612350,5,40915.55,1,1,0
A15800703SID,15800703,5,113157.22,1,1,1
A15705707SID,15705707,8,138296.94,2,1,0
A15754105SID,15754105,5,106967.18,1,0,0
A15703264SID,15703264,9,120681.63,1,1,0
A15794413SID,15794413,0,,2,0,1
A15650237SID,15650237,7,,2,1,0
A15759618SID,15759618,9,,1,1,0
A15811589SID,15811589,8,,2,1,0
A15689044SID,15689044,2,127609.59,1,1,0
A15709368SID,15709368,6,,2,1,1
A15679145SID,15679145,7,,1,1,0
A15655007SID,15655007,7,,2,0,0
A15623595SID,15623595,2,,2,1,1
